date,net_flow,net_flow_cny_million,money_flow_method,traded_value,net_flow_direction
2025-08-25,4479087606.315796,4479.087606315796,ohlcv_price_volume_proxy,5673510968.0,inflow
2025-08-26,1177402052.3076892,1177.4020523076892,ohlcv_price_volume_proxy,3061245336.0,inflow
2025-08-27,-2005926448.0,-2005.926448,ohlcv_price_volume_proxy,2005926448.0,outflow
2025-08-28,830571356.9999979,830.5713569999979,ohlcv_price_volume_proxy,1434623253.0,inflow
2025-08-29,-1152006726.0000036,-1152.0067260000035,ohlcv_price_volume_proxy,1344007847.0,outflow
2025-08-30,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-08-31,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-09-01,359267934.374992,359.267934374992,ohlcv_price_volume_proxy,958047825.0,inflow
2025-09-02,-857063999.9999994,-857.0639999999994,ohlcv_price_volume_proxy,1384488000.0,outflow
2025-09-03,-949033886.3478218,-949.0338863478219,ohlcv_price_volume_proxy,1148830494.0,outflow
2025-09-04,-167301320.83333084,-167.30132083333083,ohlcv_price_volume_proxy,1003807925.0,outflow
2025-09-05,771748969.0,771.748969,ohlcv_price_volume_proxy,771748969.0,inflow
2025-09-06,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-09-07,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-09-08,-830421980.4705873,-830.4219804705873,ohlcv_price_volume_proxy,1568574852.0,outflow
2025-09-09,615615835.0588263,615.6158350588263,ohlcv_price_volume_proxy,1495067028.0,inflow
2025-09-10,958477142.0,958.477142,ohlcv_price_volume_proxy,958477142.0,inflow
2025-09-11,817497912.2727302,817.4979122727302,ohlcv_price_volume_proxy,999164115.0,inflow
2025-09-12,-648957788.1290256,-648.9577881290256,ohlcv_price_volume_proxy,2235299048.0,outflow
2025-09-13,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-09-14,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-09-15,580215749.0909038,580.2157490909037,ohlcv_price_volume_proxy,1595593310.0,inflow
2025-09-16,1371711880.0000043,1371.7118800000044,ohlcv_price_volume_proxy,1567670720.0,inflow
2025-09-17,703719719.9999973,703.7197199999972,ohlcv_price_volume_proxy,1172866200.0,inflow
2025-09-18,-1088226674.851855,-1088.226674851855,ohlcv_price_volume_proxy,1728360013.0,outflow
2025-09-19,1271826730.6666715,1271.8267306666714,ohlcv_price_volume_proxy,1907740096.0,inflow
2025-09-20,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-09-21,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
